"Date","ISO","Country","Scale","Note"
19/03/2020,"ROU","Romania","National"," While all schools are closed, most universities are open. "
19/03/2020,"RUS","Russian Federation","Localized",
19/03/2020,"RWA","Rwanda ","National",
19/03/2020,"SAU","Saudi Arabia","National",
19/03/2020,"SDN","Sudan","National",
19/03/2020,"SEN","Senegal","National",
19/03/2020,"SLV","El Salvador","National",
19/03/2020,"SOM","Somalia","National","Data on enrolment in tertiary education programmes is not available."
19/03/2020,"SRB","Serbia","National",
19/03/2020,"SVK","Slovakia","National",
19/03/2020,"SVN","Slovenia","National",
19/03/2020,"SWE","Sweden","National","National closure of all upper secondary educational institutions and universities."
19/03/2020,"SYC","Seychelles","Localized",
19/03/2020,"SYR","Syria Arab Republic","National",
19/03/2020,"THA","Thailand","National",
19/03/2020,"TTO","Trinidad and Tobago","National",
19/03/2020,"TUN","Tunisia","National",
19/03/2020,"TUR","Turkey","National",
19/03/2020,"TZA","United Republic of Tanzania","National","Data on enrolment in tertiary education programmes is not available."
19/03/2020,"UKR","Ukraine","National",
19/03/2020,"URY","Uruguay","National",
19/03/2020,"USA","United States of America","Localized",
19/03/2020,"UZB","Uzbekistan","National",
19/03/2020,"VCT","Saint Vincent and the Grenadines","National",
19/03/2020,"VEN","Venezuela","National","Data on enrolment in tertiary education programmes is not available."
19/03/2020,"VNM","Viet Nam","Localized",
19/03/2020,"ZAF","South Africa","National",
20/03/2020,"AFG","Afghanistan","National",
20/03/2020,"ALB","Albania","National",
20/03/2020,"ARE","United Arab Emirates","National",
20/03/2020,"ARG","Argentina ","National",
20/03/2020,"ARM","Armenia","National",
20/03/2020,"AUT","Austria","National",
20/03/2020,"AZE","Azerbaijan","National",
20/03/2020,"BEL","Belgium","National",
20/03/2020,"BFA","Burkina Faso ","National",
20/03/2020,"BGD","Bangladesh","National",
20/03/2020,"BGR","Bulgaria","National",
20/03/2020,"BHR","Bahrain","National",
20/03/2020,"BIH","Bosnia and Herzegovina","National",
20/03/2020,"BOL","Bolivia ","National","Data on enrolment in tertiary education programmes is not available."
20/03/2020,"BRA","Brazil","Localized",
20/03/2020,"BTN","Bhutan","Localized",
20/03/2020,"BWA","Botswana","National",
20/03/2020,"CAN","Canada","Localized",
20/03/2020,"CHE","Switzerland","National",
20/03/2020,"CHL","Chile","National",
20/03/2020,"CHN","China","National",
20/03/2020,"CHN","China, Hong Kong Special Administrative Region","National",
20/03/2020,"CHN","China, Macao Special Administrative Region","National",
20/03/2020,"CIV","Cote d'Ivoire","National",
20/03/2020,"CMR","Cameroon","National",
20/03/2020,"COL","Colombia","National",
20/03/2020,"CRI","Costa Rica","National",
20/03/2020,"CYM","Cayman Islands","National","Data on enrolment in tertiary education programmes is not available."
20/03/2020,"CYP","Cyprus","National",
20/03/2020,"CZE","Czechia","National",
20/03/2020,"DEU","Germany","National",
20/03/2020,"DNK","Denmark","National",
20/03/2020,"DZA","Algeria","National",
20/03/2020,"ECU","Ecuador","National",
20/03/2020,"EGY","Egypt","National",
20/03/2020,"ESP","Spain","National",
20/03/2020,"EST","Estonia","National",
20/03/2020,"ETH","Ethiopia","National",
20/03/2020,"FIN","Finland","National",
20/03/2020,"FJI","Fiji","Localized",
20/03/2020,"FRA","France","National",
20/03/2020,"FRO","Faroe Islands","National","Education will continue in the early grades in special circumstances, and for the higher grades, when considered necessary for the completion of studies."
20/03/2020,"GAB","Gabon","National",
20/03/2020,"GBR","United Kingdom of Great Britain and Northern Ireland","National",
20/03/2020,"GEO","Georgia","National",
20/03/2020,"GHA","Ghana","National",
20/03/2020,"GMB","Gambia","National",
20/03/2020,"GNB","Guinea-Bissau","National","Data on enrolment in tertiary education programmes is not available."
20/03/2020,"GNQ","Equatorial Guinea ","National","Data on enrolment in tertiary education programmes is not available."
20/03/2020,"GRC","Greece","National",
20/03/2020,"GRD","Grenada","National",
20/03/2020,"GRL","Greenland","Localized",
20/03/2020,"GTM","Guatemala","National",
20/03/2020,"HND","Honduras","National",
20/03/2020,"HRV","Croatia","National",
20/03/2020,"HUN","Hungary","National",
20/03/2020,"IDN","Indonesia","Localized",
20/03/2020,"IND","India","National","While no national level announcement has been made, 27 of 28 states and 5 of 8 union territories have announced school closures with some variations in school levels."
20/03/2020,"IRL","Ireland","National",
20/03/2020,"IRN","Iran (Islamic Republic of)","National",
20/03/2020,"IRQ","Iraq","National"," Universities on term break. Closures not related to COVID-19. "
20/03/2020,"ISL","Iceland","National","Primary education institutions can remain open, if classes of under 20 children are assured."
20/03/2020,"ISR","Israel","National",
20/03/2020,"ITA","Italy","National",
20/03/2020,"JAM","Jamaica","National",
20/03/2020,"JOR","Jordan","National",
20/03/2020,"JPN","Japan","National",
20/03/2020,"KAZ","Kazakhstan","National",
20/03/2020,"KEN","Kenya","National",
20/03/2020,"KGZ","Kyrgyzstan ","National",
20/03/2020,"KHM","Cambodia","National",
20/03/2020,"KOR","Republic of Korea","National","Following an initial postponement of 2 weeks, universities have started the academic year. Group and face-to-face classes are strongly discouraged, and universities are offering online classes."
20/03/2020,"KWT","Kuwait","National",
20/03/2020,"LAO","Lao PDR","National",
20/03/2020,"LBN","Lebanon","National",
20/03/2020,"LBY","Libya","National",
20/03/2020,"LCA","Saint Lucia","National",
20/03/2020,"LKA","Sri Lanka","National",
20/03/2020,"LSO","Lesotho","National",
20/03/2020,"LTU","Lithuania","National",
20/03/2020,"LUX","Luxembourg","National",
20/03/2020,"LVA","Latvia","National",
20/03/2020,"MAR","Morocco","National",
20/03/2020,"MDA","Republic of Moldova","National",
20/03/2020,"MKD","North Macedonia","National",
20/03/2020,"MLI","Mali","National",
20/03/2020,"MMR","Myanmar","National",
20/03/2020,"MNE","Montenegro ","National",
20/03/2020,"MNG","Mongolia","National",
20/03/2020,"MRT","Mauritania ","National",
20/03/2020,"MUS","Mauritius","National",
20/03/2020,"MYS","Malaysia","National",
20/03/2020,"NAM","Namibia  ","National",
20/03/2020,"NLD","Netherlands","National",
20/03/2020,"NOR","Norway","National",
20/03/2020,"NPL","Nepal","National",
20/03/2020,"PAK","Pakistan ","National",
20/03/2020,"PAN","Panama","National",
20/03/2020,"PER","Peru","National",
20/03/2020,"PHL","Philippines","Localized",
20/03/2020,"POL","Poland","National",
20/03/2020,"PRK","Democratic People's Republic of Korea","National",
20/03/2020,"PRT","Portugal","National",
20/03/2020,"PRY","Paraguay ","National",
20/03/2020,"PSE","Palestine","National",
20/03/2020,"QAT","Qatar","National",
20/03/2020,"ROU","Romania","National"," While all schools are closed, most universities are open. "
20/03/2020,"RUS","Russian Federation","Localized",
20/03/2020,"RWA","Rwanda ","National",
20/03/2020,"SAU","Saudi Arabia","National",
20/03/2020,"SDN","Sudan","National",
20/03/2020,"SEN","Senegal","National",
20/03/2020,"SLV","El Salvador","National",
20/03/2020,"SOM","Somalia","National","Data on enrolment in tertiary education programmes is not available."
20/03/2020,"SRB","Serbia","National",
20/03/2020,"STP","São Tomé and Príncipe","National",
20/03/2020,"SVK","Slovakia","National",
20/03/2020,"SVN","Slovenia","National",
20/03/2020,"SWE","Sweden","National","National closure of all upper secondary educational institutions and universities."
20/03/2020,"SYC","Seychelles","Localized",
20/03/2020,"SYR","Syria Arab Republic","National",
20/03/2020,"TCD","Chad","National",
20/03/2020,"THA","Thailand","National",
20/03/2020,"TTO","Trinidad and Tobago","National",
20/03/2020,"TUN","Tunisia","National",
20/03/2020,"TUR","Turkey","National",
20/03/2020,"TZA","United Republic of Tanzania","National","Data on enrolment in tertiary education programmes is not available."
20/03/2020,"UGA","Uganda","National",
20/03/2020,"UKR","Ukraine","National",
20/03/2020,"URY","Uruguay","National",
20/03/2020,"USA","United States of America","Localized",
20/03/2020,"UZB","Uzbekistan","National",
20/03/2020,"VCT","Saint Vincent and the Grenadines","National",
20/03/2020,"VEN","Venezuela","National","Data on enrolment in tertiary education programmes is not available."
20/03/2020,"VNM","Viet Nam","Localized",
20/03/2020,"ZAF","South Africa","National",
20/03/2020,"ZMB","Zambia","National",
