,content,engine,positions,pretty_url,pubdate,publishedDate,score,title,url,searchvalue,searchquery,ResponseCategory,country,publishedAt,contentDate
2,"In yet another attempt to slow down the spread of the Coronavirus, Germany announced new measures. Chancellor Angela Merkel said the ...",startpage,[3],https://berlinspectator.com/2020/03/16[...]churches-bars-pubs-brothels-casinos-1/,2020-03-16 00:00:00,"Mar 16, 2020",0.3333333333333333,"Corona Crisis: Germany Closes Shops, Churches, Bars, Pubs ...",https://berlinspectator.com/2020/03/16/corona-crisis-germany-closes-shops-churches-bars-pubs-brothels-casinos-1/,closed+bars+restaurants,germany+closed+bars+restaurants,restaurants,germany,2020-03-16 00:00:00,"In yet another attempt to slow down the spread of the Coronavirus, Germany announced new measures. Chancellor Angela Merkel said the"
3,13 Mar 2020 ...,startpage,[4],https://www.thelocal.de/20200313/coron[...]closed-as-public-transport-scaled-back,,,0.25,"Coronavirus: Berlin orders closure of bars, museums and gyms",https://www.thelocal.de/20200313/coronavirus-berlin-bars-and-clubs-to-be-closed-as-public-transport-scaled-back,closed+bars+restaurants,germany+closed+bars+restaurants,restaurants,germany,,2020-03-13
4,15 Mar 2020 ...,startpage,[5],https://www.bbc.co.uk/news/live/world-51903319,,,0.2,"Coronavirus updates: France 'at war', says Macron - BBC News",https://www.bbc.co.uk/news/live/world-51903319,closed+bars+restaurants,germany+closed+bars+restaurants,restaurants,germany,,2020-03-15
5,14 Mar 2020 ...,startpage,[6],https://www.politico.eu/article/corona[...]avirus-france-bars-restaurants-closed/,,,0.16666666666666666,France closes bars and restaurants over coronavirus,https://www.politico.eu/article/coronavirus-france-bars-restaurants-closed/,closed+bars+restaurants,germany+closed+bars+restaurants,restaurants,germany,,2020-03-14
6,Germany Switzerland S. Korea France USA Spain China Iran Italy 0 10 20 30 ... France closes bars and restaurants... but election goes ahead.,startpage,[7],https://www.euronews.com/2020/03/09/co[...]omes-most-affected-country-after-china,2020-03-14 00:00:00,"Mar 14, 2020",0.14285714285714285,Coronavirus: Spain declares state of emergency as France shuts ...,https://www.euronews.com/2020/03/09/coronavirus-italy-becomes-most-affected-country-after-china,closed+bars+restaurants,germany+closed+bars+restaurants,restaurants,germany,2020-03-14 00:00:00,Germany Switzerland S. Korea France USA Spain China Iran Italy 0 10 20 30 France closes bars and restaurants... but election goes ahead.
7,17 Mar 2020 ...,startpage,[8],https://www.bbc.com/news/world-europe-51918596,,,0.125,Europe plans full border closure in virus battle,https://www.bbc.com/news/world-europe-51918596,closed+bars+restaurants,germany+closed+bars+restaurants,restaurants,germany,,2020-03-17
8,16 Mar 2020 ...,startpage,[9],https://www.bbc.com/news/world-europe-51905129,,,0.1111111111111111,Germany closes borders to try to slow virus,https://www.bbc.com/news/world-europe-51905129,closed+bars+restaurants,germany+closed+bars+restaurants,restaurants,germany,,2020-03-16
9,"Coronavirus - Denmark closes border - tourists banned ... If you are headed to Germany for now you will encounter little in the way of travel ... It has already shut schools, bars, cafes, shopping malls, theatres, cinemas, ...",startpage,[10],https://www.forbes.com/sites/tamarathi[...]avirus-europe-closes-borders-tourists/,2020-03-14 00:00:00,"Mar 14, 2020",0.1,Coronavirus: Some Of These 24 European Countries Have Closed ...,https://www.forbes.com/sites/tamarathiessen/2020/03/14/coronavirus-europe-closes-borders-tourists/,closed+bars+restaurants,germany+closed+bars+restaurants,restaurants,germany,2020-03-14 00:00:00,"Coronavirus - Denmark closes border - tourists banned If you are headed to Germany for now you will encounter little in the way of travel It has already shut schools, bars, cafes, shopping malls, theatres, cinemas,"
0,Personal Liability Advice; Advisory/Restructuring Services. OPTIONS FOR DISSOLVING/WINDING UP A GERMAN COMPANY? VOLUNTARY CLOSURE OF ...,startpage,[1],https://www.closeaeuropeancompany.com/germany/,,,1.0,How To Close A Company In Germany - Close a European Company,https://www.closeaeuropeancompany.com/germany/,Business+close,germany+Business+close,Business,germany,,Personal Liability Advice; Advisory/Restructuring Services. OPTIONS FOR DISSOLVING/WINDING UP A GERMAN COMPANY? VOLUNTARY CLOSURE OF
1,"The closures in Germany will include restaurants, bars, clubs, theaters ... 12:48 Stena Line, a Swedish ferry company, said it will cut 950 jobs in ...",startpage,[2],https://www.dw.com/en/coronavirus-late[...]-shops-bars-and-restaurants/a-52788195,2020-03-16 00:00:00,"Mar 16, 2020",0.5,"Coronavirus latest: Germany to close all non-essential shops, bars ...",https://www.dw.com/en/coronavirus-latest-germany-to-close-all-non-essential-shops-bars-and-restaurants/a-52788195,Business+close,germany+Business+close,Business,germany,2020-03-16 00:00:00,"The closures in Germany will include restaurants, bars, clubs, theaters 12:48 Stena Line, a Swedish ferry company, said it will cut 950 jobs in"
2,16 Mar 2020 ...,startpage,[3],https://www.dailymail.co.uk/news/artic[...]s-new-rules-close-essential-shops.html,,,0.3333333333333333,Coronavirus Germany: All but banks and essential shops closed,https://www.dailymail.co.uk/news/article-8117883/Germany-agrees-new-rules-close-essential-shops.html,Business+close,germany+Business+close,Business,germany,,2020-03-16
3,"Organizations in this hub have their headquarters located in Germany, Europe; notable events and people located in Germany are also included. This list of ...",startpage,[4],https://www.crunchbase.com/hub/closed-germany-companies,,,0.25,List of top Closed Germany Companies | Crunchbase,https://www.crunchbase.com/hub/closed-germany-companies,Business+close,germany+Business+close,Business,germany,,"Organizations in this hub have their headquarters located in Germany, Europe; notable events and people located in Germany are also included. This list of"
4,6 days ago ...,startpage,[5],https://www.businessoffashion.com/arti[...]rs-plead-for-state-aid-as-stores-close,,,0.2,German Retailers Plead for State Aid as Stores Close,https://www.businessoffashion.com/articles/news-analysis/german-retailers-plead-for-state-aid-as-stores-close,Business+close,germany+Business+close,Business,germany,,2020-03-19
5,"Find out about the opening and closing times and days of companies, banks and public administration offices : See the list of bank holidays, times when ...",startpage,[6],https://www.nordeatrade.com/en/explore-new-market/germany/opening-hours,,,0.16666666666666666,Opening hours and bank holidays in Germany - Business ...,https://www.nordeatrade.com/en/explore-new-market/germany/opening-hours,Business+close,germany+Business+close,Business,germany,,"Find out about the opening and closing times and days of companies, banks and public administration offices : See the list of bank holidays, times when"
6,"Throughout the year, apart from Festivals, businesses are open at the following hours: Offices: Mondays to Fridays: 09:00 - 18:00 (with a 1 hour lunch break)",startpage,[7],http://www.worldwide-tax.com/germany/gerbusiness.asp,,,0.14285714285714285,Germany Business Opening Hours - The WorldWide-Tax.Com,http://www.worldwide-tax.com/germany/gerbusiness.asp,Business+close,germany+Business+close,Business,germany,,"Throughout the year, apart from Festivals, businesses are open at the following hours: Offices: Mondays to Fridays: 09:00 - 18:00 (with a 1 hour lunch break)"
7,Germany's manufacturing slump is dragging the economy closer to ... Business expectations in Europe's largest economy fell to the lowest in a ...,startpage,[8],https://www.bloomberg.com/news/article[...]t-stabilizes-but-expectations-are-dire,2019-09-24 00:00:00,"Sep 24, 2019",0.125,Manufacturing Slump Drags Germany Ever Closer to a Recession ...,https://www.bloomberg.com/news/articles/2019-09-24/german-business-sentiment-stabilizes-but-expectations-are-dire,Business+close,germany+Business+close,Business,germany,2019-09-24 00:00:00,Germany's manufacturing slump is dragging the economy closer to Business expectations in Europe's largest economy fell to the lowest in a
8,"Many shops and businesses are also closed on Carnival Rose Monday (Cologne and Rhine region), Christmas Eve and New Year's Eve although these are not ...",startpage,[9],https://businessculture.org/western-eu[...]-germany/work-life-balance-in-germany/,,,0.1111111111111111,Work life balance in Germany: national holidays and working hours,https://businessculture.org/western-europe/business-culture-in-germany/work-life-balance-in-germany/,Business+close,germany+Business+close,Business,germany,,"Many shops and businesses are also closed on Carnival Rose Monday (Cologne and Rhine region), Christmas Eve and New Year's Eve although these are not"
9,German business culture. Did you know about business culture in Germany? Watch this video animation to find out some interesting facts: Business Culture in ...,startpage,[10],https://businessculture.org/western-europe/business-culture-in-germany/,,,0.1,"Business culture in Germany: international business, xenophobia ...",https://businessculture.org/western-europe/business-culture-in-germany/,Business+close,germany+Business+close,Business,germany,,German business culture. Did you know about business culture in Germany? Watch this video animation to find out some interesting facts: Business Culture in
0,"13 hours ago ... German Business Outlook Collapses With Economy Largely Shut Down. By. Piotr Skolimowski. March 25, 2020, 2:08 AM PDT.",startpage,[1],https://www.bloomberg.com/news/article[...]llapses-with-economy-largely-shut-down,,,1.0,German Business Outlook Collapses With Economy Largely Shut ...,https://www.bloomberg.com/news/articles/2020-03-25/german-business-outlook-collapses-with-economy-largely-shut-down,Business+shut+down,germany+Business+shut+down,Business,germany,,2020-03-25
1,"As restaurants and other services shut down on Monday, the government ... Bridging loans for small businesses, huge health spend boost.",startpage,[2],https://www.dw.com/en/coronavirus-germ[...]-costs-of-economic-shutdown/a-52890813,2020-03-23 23:41:13,"Mar 23, 2020",0.5,Coronavirus: Germany counts costs of economic shutdown | DW ...,https://www.dw.com/en/coronavirus-germany-counts-costs-of-economic-shutdown/a-52890813,Business+shut+down,germany+Business+shut+down,Business,germany,2020-03-23 23:41:13,"As restaurants and other services shut down on Monday, the government Bridging loans for small businesses, huge health spend boost."
2,"Increasingly in Germany, businesses have been encouraging employees to stay away from the office, with a recent poll of more than 700 ...",startpage,[3],https://www.dw.com/en/coronavirus-begi[...]-public-life-across-germany/a-52743358,2020-03-12 00:00:00,"Mar 12, 2020",0.3333333333333333,Coronavirus begins shutting down public life across Germany | DW ...,https://www.dw.com/en/coronavirus-begins-shutting-down-public-life-across-germany/a-52743358,Business+shut+down,germany+Business+shut+down,Business,germany,2020-03-12 00:00:00,"Increasingly in Germany, businesses have been encouraging employees to stay away from the office, with a recent poll of more than 700"
3,"The German government and the federal states have agreed to severe ... Also excluded from mandatory closure are retail outlets for groceries and ... For those businesses, the current ban on Sunday openings would also be ...",startpage,[4],https://www.spiegel.de/international/g[...]a-093655fd-386f-40b6-af01-e24a8cb02f6a,2020-03-16 00:00:00,"Mar 16, 2020",0.25,Drastic Measures: Germany Moves To Shut Down Most of Public Life,https://www.spiegel.de/international/germany/germany-moves-to-shut-down-most-of-public-life-a-093655fd-386f-40b6-af01-e24a8cb02f6a,Business+shut+down,germany+Business+shut+down,Business,germany,2020-03-16 00:00:00,"The German government and the federal states have agreed to severe Also excluded from mandatory closure are retail outlets for groceries and For those businesses, the current ban on Sunday openings would also be"
4,"Merkel laid out a list of all the types of businesses, venues, events, and gatherings that would be forbidden in all of Germany's 16 states, after ...",startpage,[5],https://uk.finance.yahoo.com/news/merk[...]slow-coronavirus-spread-173908708.html,2020-03-16 00:00:00,"Mar 16, 2020",0.2,Coronavirus: Merkel announces Germany shutdown of all but ...,https://uk.finance.yahoo.com/news/merkel-announces-sweeping-shutdown-of-all-but-essential-shops-to-slow-coronavirus-spread-173908708.html,Business+shut+down,germany+Business+shut+down,Business,germany,2020-03-16 00:00:00,"Merkel laid out a list of all the types of businesses, venues, events, and gatherings that would be forbidden in all of Germany's 16 states, after"
5,15 Mar 2020 ...,startpage,[6],https://www.politico.eu/article/german[...]artially-close-borders-with-neighbors/,,,0.16666666666666666,Germany to partially close borders with neighbors,https://www.politico.eu/article/germany-to-partially-close-borders-with-neighbors/,Business+shut+down,germany+Business+shut+down,Business,germany,,2020-03-15
6,"13 hours ago ... BC-German-Business-Outlook-Collapses-With-Economy-Largely-Shut-Down , Piotr Skolimowski. (Bloomberg) --. German business confidence ...",startpage,[7],https://www.bnnbloomberg.ca/german-bus[...]th-economy-largely-shut-down-1.1411953,,,0.14285714285714285,German Business Outlook Collapses With Economy Largely Shut ...,https://www.bnnbloomberg.ca/german-business-outlook-collapses-with-economy-largely-shut-down-1.1411953,Business+shut+down,germany+Business+shut+down,Business,germany,,2020-03-25
7,13 hours ago ...,startpage,[8],https://www.irishtimes.com/business/ec[...]s-year-depending-on-shutdown-1.4211737,,,0.125,German economy could contract by 5%-20% this year depending on ...,https://www.irishtimes.com/business/economy/german-economy-could-contract-by-5-20-this-year-depending-on-shutdown-1.4211737,Business+shut+down,germany+Business+shut+down,Business,germany,,2020-03-25
8,The automaker will shut down plants in Germany and Romania after halting production at a factory in Spain after three COVID-19 cases emerged.,startpage,[9],https://www.businessinsider.com/corona[...]-factories-europe-amid-outbreak-2020-3,,,0.1111111111111111,Coronavirus: Ford shutting down factories Europe ... - Business Insider,https://www.businessinsider.com/coronavirus-ford-shutting-down-factories-europe-amid-outbreak-2020-3,Business+shut+down,germany+Business+shut+down,Business,germany,,The automaker will shut down plants in Germany and Romania after halting production at a factory in Spain after three COVID-19 cases emerged.
9,This list contains the closure notifications submitted to the Bundesnetzagentur by ... List of power plant closure notifications (KWSAL) (German language only),startpage,[10],https://www.bundesnetzagentur.de/EN/Ar[...]ist_of_closure_notifications_node.html,,,0.1,List of closure notifications - Bundesnetzagentur,https://www.bundesnetzagentur.de/EN/Areas/Energy/Companies/SecurityOfSupply/GeneratingCapacity/List_of_closure_notifications/List_of_closure_notifications_node.html,Business+shut+down,germany+Business+shut+down,Business,germany,,This list contains the closure notifications submitted to the Bundesnetzagentur by List of power plant closure notifications (KWSAL) (German language only)
0,"BERLIN — Germany on Sunday barred groups of more than two people from gathering, except for families, and Chancellor Angela Merkel later ...",startpage,[1],https://www.nytimes.com/2020/03/22/wor[...]europe/germany-coronavirus-budget.html,2020-03-22 23:41:16,"Mar 22, 2020",1.0,Germany Bans Groups of More Than 2 to Stop Coronavirus as ...,https://www.nytimes.com/2020/03/22/world/europe/germany-coronavirus-budget.html,groups+banned,germany+groups+banned,groups,germany,2020-03-22 23:41:16,"BERLIN — Germany on Sunday barred groups of more than two people from gathering, except for families, and Chancellor Angela Merkel later"
1,3 days ago ...,startpage,[2],https://www.bbc.com/news/world-europe-51999080,,,0.5,Germany bans groups of more than two to curb virus,https://www.bbc.com/news/world-europe-51999080,groups+banned,germany+groups+banned,groups,germany,,2020-03-22
2,6 days ago ...,startpage,[3],https://www.theguardian.com/world/2020[...]ght-group-reichsburger-after-state-ban,,,0.3333333333333333,German police arrest members of far-right group after state ban,https://www.theguardian.com/world/2020/mar/19/german-police-arrest-members-of-far-right-group-reichsburger-after-state-ban,groups+banned,germany+groups+banned,groups,germany,,2020-03-19
3,"The far-right in Germany quickly re-organised itself after the fall of Nazi Germany and the ... Most parties only lasted a few years before either dissolving or being banned, and explicitly far-right parties have never gained seats in the ... In four decades of the former East Germany, 17 people were murdered by far right groups.",startpage,[4],https://en.wikipedia.org/wiki/Far-righ[...]tics_in_Germany_(1945%E2%80%93present),,,0.25,Far-right politics in Germany (1945–present) - Wikipedia,https://en.wikipedia.org/wiki/Far-right_politics_in_Germany_(1945%E2%80%93present),groups+banned,germany+groups+banned,groups,germany,,"The far-right in Germany quickly re-organised itself after the fall of Nazi Germany and the Most parties only lasted a few years before either dissolving or being banned, and explicitly far-right parties have never gained seats in the In four decades of the former East Germany, 17 people were murdered by far right groups."
4,"Pages in category ""Banned political parties in Germany"". The following 10 pages are in this category, out of 10 total. This list may not reflect recent changes ...",startpage,[5],https://en.wikipedia.org/wiki/Category:Banned_political_parties_in_Germany,,,0.2,Category:Banned political parties in Germany - Wikipedia,https://en.wikipedia.org/wiki/Category:Banned_political_parties_in_Germany,groups+banned,germany+groups+banned,groups,germany,,"Pages in category ""Banned political parties in Germany"". The following 10 pages are in this category, out of 10 total. This list may not reflect recent changes"
5,Poll Results. Germany has banned groups of more than two people. Should Canada follow suit? Yes 393 votes 66.16 %. No 163 votes 27.44 %.,startpage,[6],https://www.baytoday.ca/polls/germany-[...]people-should-canada-follow-suit-15656,2020-03-23 23:41:16,"Mar 23, 2020",0.16666666666666666,Germany has banned groups of more than two people. Should ...,https://www.baytoday.ca/polls/germany-has-banned-groups-of-more-than-two-people-should-canada-follow-suit-15656,groups+banned,germany+groups+banned,groups,germany,2020-03-23 23:41:16,Poll Results. Germany has banned groups of more than two people. Should Canada follow suit? Yes 393 votes 66.16 %. No 163 votes 27.44 %.
6,"Germany banned a far-right group on Thursday and police in 10 states raided the homes of 21 of its most senior members, the interior minister ...",startpage,[7],https://www.reuters.com/article/us-ger[...]roup-raids-leaders-homes-idUSKBN21616Q,2020-03-19 23:41:16,"Mar 19, 2020",0.14285714285714285,"Germany bans far-right group, raids leaders' homes - Reuters",https://www.reuters.com/article/us-germany-farright-crackdown/germany-bans-far-right-group-raids-leaders-homes-idUSKBN21616Q,groups+banned,germany+groups+banned,groups,germany,2020-03-19 23:41:16,"Germany banned a far-right group on Thursday and police in 10 states raided the homes of 21 of its most senior members, the interior minister"
7,23 Jan 2020 ...,startpage,[8],https://www.politico.eu/article/german[...]eehofer-bans-neo-nazi-group-combat-18/,,,0.125,Germany bans neo-Nazi group,https://www.politico.eu/article/germany-horst-seehofer-bans-neo-nazi-group-combat-18/,groups+banned,germany+groups+banned,groups,germany,,2020-01-23
8,8 Mar 2020 ...,startpage,[9],https://www.politico.eu/article/german[...]1000-people-as-coronavirus-cases-rise/,,,0.1111111111111111,German minister calls for ban on events with over 1000 people as ...,https://www.politico.eu/article/german-minister-calls-for-ban-on-events-with-over-1000-people-as-coronavirus-cases-rise/,groups+banned,germany+groups+banned,groups,germany,,2020-03-08
9,"Banned in Germany, The True Religion (Die Wahre Religion or DWR) is a political Islamist Salafi group that advocates for violent jihad. Founded by Ibrahim ...",startpage,[10],https://www.counterextremism.com/countries/germany,,,0.1,Germany - Counter Extremism Project,https://www.counterextremism.com/countries/germany,groups+banned,germany+groups+banned,groups,germany,,"Banned in Germany, The True Religion (Die Wahre Religion or DWR) is a political Islamist Salafi group that advocates for violent jihad. Founded by Ibrahim"
0,3 days ago ...,startpage,[1],https://www.independent.co.uk/news/wor[...]ss-conference-latest-450-a9417036.html,,,1.0,Coronavirus: Germany bans gatherings of more than two people,https://www.independent.co.uk/news/world/europe/germany-coronavirus-ban-gathering-merkel-speech-press-conference-latest-450-a9417036.html,gathering+people,germany+gathering+people,groups,germany,,2020-03-22
1,"The German government is banning public gatherings of more than two people to help prevent the spread of the coronavirus outbreak, ...",startpage,[2],https://www.axios.com/germany-bans-pub[...]ecec7-b9e3-484c-9312-bce0cb2ec932.html,2020-03-22 23:41:17,"Mar 22, 2020",0.5,Germany bans public gatherings of more than 2 people - Axios,https://www.axios.com/germany-bans-public-gathering-coronavirus-e54ecec7-b9e3-484c-9312-bce0cb2ec932.html,gathering+people,germany+gathering+people,groups,germany,2020-03-22 23:41:17,"The German government is banning public gatherings of more than two people to help prevent the spread of the coronavirus outbreak,"
2,"BERLIN — Germany on Sunday barred groups of more than two people from gathering, except for families, and Chancellor Angela Merkel later ...",startpage,[3],https://www.nytimes.com/2020/03/22/wor[...]europe/germany-coronavirus-budget.html,2020-03-22 23:41:17,"Mar 22, 2020",0.3333333333333333,Germany Bans Groups of More Than 2 to Stop Coronavirus as ...,https://www.nytimes.com/2020/03/22/world/europe/germany-coronavirus-budget.html,gathering+people,germany+gathering+people,groups,germany,2020-03-22 23:41:17,"BERLIN — Germany on Sunday barred groups of more than two people from gathering, except for families, and Chancellor Angela Merkel later"
3,"Gatherings of more than two people will be banned in Germany, Chancellor Angela Merkel said on Sunday, as Europe's biggest economy ...",startpage,[4],https://www.ndtv.com/world-news/corona[...]any-to-contain-covid-19-spread-2198928,2020-03-23 23:41:17,"Mar 23, 2020",0.25,Gathering Of More Than 2 Banned In Germany To Contain ... - NDTV,https://www.ndtv.com/world-news/coronavirus-outbreak-gathering-of-more-than-2-banned-in-germany-to-contain-covid-19-spread-2198928,gathering+people,germany+gathering+people,groups,germany,2020-03-23 23:41:17,"Gatherings of more than two people will be banned in Germany, Chancellor Angela Merkel said on Sunday, as Europe's biggest economy"
4,"On March 22, Germany's Chancellor Angela Merkel banned gatherings of more than two people with exceptions amid the growing coronavirus ...",startpage,[5],https://www.republicworld.com/world-ne[...]gathering-of-more-than-two-people.html,2020-03-23 23:41:17,"Mar 23, 2020",0.2,Germany bans gatherings of more than two people to curb ...,https://www.republicworld.com/world-news/rest-of-the-world-news/germany-bans-gathering-of-more-than-two-people.html,gathering+people,germany+gathering+people,groups,germany,2020-03-23 23:41:17,"On March 22, Germany's Chancellor Angela Merkel banned gatherings of more than two people with exceptions amid the growing coronavirus"
5,3 Mar 2020 ...,startpage,[6],https://www.thelocal.de/20200303/whats[...]-in-germany-and-what-do-i-need-to-know,,,0.16666666666666666,What's the latest on coronavirus in Germany and what do I need to ...,https://www.thelocal.de/20200303/whats-the-latest-on-coronavirus-in-germany-and-what-do-i-need-to-know,gathering+people,germany+gathering+people,groups,germany,,2020-03-03
6,12 Mar 2020 ...,startpage,[7],https://www.thelocal.de/20200312/coron[...]-be-avoided-where-possible-says-merkel,,,0.14285714285714285,Merkel calls for social contact 'to be avoided where possible',https://www.thelocal.de/20200312/coronavirus-social-contact-must-be-avoided-where-possible-says-merkel,gathering+people,germany+gathering+people,groups,germany,,2020-03-12
7,8 Mar 2020 ...,startpage,[8],https://www.politico.eu/article/german[...]1000-people-as-coronavirus-cases-rise/,,,0.125,German minister calls for ban on events with over 1000 people as ...,https://www.politico.eu/article/german-minister-calls-for-ban-on-events-with-over-1000-people-as-coronavirus-cases-rise/,gathering+people,germany+gathering+people,groups,germany,,2020-03-08
8,"German Chancellor Angela Merkel has declared a ban on gatherings of more than two people in the country, Politico reported. The declaration ...",startpage,[9],https://mothership.sg/2020/03/germany-2-people-gathering-ban/,2020-03-23 23:41:17,"Mar 23, 2020",0.1111111111111111,Covid-19: Germany bans gatherings of more than 2 people in public ...,https://mothership.sg/2020/03/germany-2-people-gathering-ban/,gathering+people,germany+gathering+people,groups,germany,2020-03-23 23:41:17,"German Chancellor Angela Merkel has declared a ban on gatherings of more than two people in the country, Politico reported. The declaration"
9,"Germany has imposed a public gathering restriction of not more than two people on its citizens, marking yet another stringent step in the fight to ...",startpage,[10],https://www.premiumtimesng.com/news/to[...]gathering-of-more-than-two-people.html,2020-03-22 23:41:17,"Mar 22, 2020",0.1,Coronavirus: Germany bans gathering of more than two people,https://www.premiumtimesng.com/news/top-news/383255-coronavirus-germany-bans-gathering-of-more-than-two-people.html,gathering+people,germany+gathering+people,groups,germany,2020-03-22 23:41:17,"Germany has imposed a public gathering restriction of not more than two people on its citizens, marking yet another stringent step in the fight to"
0,A pedestrian crosses an empty street in Berlin. Maja Hitij/ Getty Images. Has Germany imposed a total curfew? No. But more than two people ...,startpage,[1],https://www.spiegel.de/international/g[...]a-fe5a067b-ee7a-4521-9940-edfa637f90de,2020-03-23 23:41:19,"Mar 23, 2020",1.0,Can I Still Go Outside?: An Overview of the Updated Restrictions on ...,https://www.spiegel.de/international/germany/germany-imposes-tougher-restrictions-on-public-life-a-fe5a067b-ee7a-4521-9940-edfa637f90de,people+restrictions,germany+people+restrictions,groups,germany,2020-03-23 23:41:19,A pedestrian crosses an empty street in Berlin. Maja Hitij/ Getty Images. Has Germany imposed a total curfew? No. But more than two people
1,3 days ago ...,startpage,[2],https://www.bbc.com/news/world-europe-51999080,,,0.5,Germany bans groups of more than two to curb virus,https://www.bbc.com/news/world-europe-51999080,people+restrictions,germany+people+restrictions,groups,germany,,2020-03-22
2,Coronavirus: Germany bans groups of more than two people. German Chancellor Angela Merkel announced on Sunday a nine-point plan to be ...,startpage,[3],https://www.dw.com/en/what-are-germany[...]rus-social-distancing-rules/a-52881742,2020-03-22 23:41:19,"Mar 22, 2020",0.3333333333333333,What are Germany's new coronavirus social distancing rules? | DW ...,https://www.dw.com/en/what-are-germanys-new-coronavirus-social-distancing-rules/a-52881742,people+restrictions,germany+people+restrictions,groups,germany,2020-03-22 23:41:19,Coronavirus: Germany bans groups of more than two people. German Chancellor Angela Merkel announced on Sunday a nine-point plan to be
3,"“No one wants to stand before the people and discuss such rules,” she told reporters in Berlin. “We are in a really tough situation.” Europe is also ...",startpage,[4],https://www.bloomberg.com/news/article[...]es-of-more-than-two-people-dpa-reports,2020-03-22 23:41:19,"Mar 22, 2020",0.25,Germany Coronavirus News: Deutschland Aktuelle Virus ...,https://www.bloomberg.com/news/articles/2020-03-22/germany-to-ban-assemblies-of-more-than-two-people-dpa-reports,people+restrictions,germany+people+restrictions,groups,germany,2020-03-22 23:41:19,"“No one wants to stand before the people and discuss such rules,” she told reporters in Berlin. “We are in a really tough situation.” Europe is also"
4,,startpage,[5],https://www.thelocal.de/galleries/life[...]p-ten-weird-german-laws-the-local-list,,,0.2,Top ten weird German rules and laws The Local,https://www.thelocal.de/galleries/lifestyle/top-ten-weird-german-laws-the-local-list,people+restrictions,germany+people+restrictions,groups,germany,,
5,Travelers should be prepared for the possibility that additional travel restrictions will be implemented with little or no advance notice. The most ...,startpage,[6],https://de.usembassy.gov/covid-19-information/,2020-03-23 23:41:19,"Mar 23, 2020",0.16666666666666666,COVID-19 Information | U.S. Embassy & Consulates in Germany,https://de.usembassy.gov/covid-19-information/,people+restrictions,germany+people+restrictions,groups,germany,2020-03-23 23:41:19,Travelers should be prepared for the possibility that additional travel restrictions will be implemented with little or no advance notice. The most
6,3 days ago ...,startpage,[7],https://www.politico.eu/article/merkel[...]ore-than-2-people-to-slow-coronavirus/,,,0.14285714285714285,Merkel bans meetings of more than 2 people to slow coronavirus,https://www.politico.eu/article/merkel-bans-meetings-of-more-than-2-people-to-slow-coronavirus/,people+restrictions,germany+people+restrictions,groups,germany,,2020-03-22
7,"Germany has introduced travel restrictions for entries from outside the ... Other people may be rejected entry, if they cannot provide proof of ...",startpage,[8],https://www.auswaertiges-amt.de/en/coronavirus/2317268,2020-03-22 23:41:19,"Mar 22, 2020",0.125,Coronavirus and entry restrictions: 4 things travelers to Germany ...,https://www.auswaertiges-amt.de/en/coronavirus/2317268,people+restrictions,germany+people+restrictions,groups,germany,2020-03-22 23:41:19,"Germany has introduced travel restrictions for entries from outside the Other people may be rejected entry, if they cannot provide proof of"
8,"This Basic Law thus applies to the entire German people. ... (2) These rights shall find their limits in the provisions of general laws, in provisions for the protection ...",startpage,[9],https://www.gesetze-im-internet.de/englisch_gg/englisch_gg.html,,,0.1111111111111111,Basic Law for the Federal Republic of Germany - Gesetze im Internet,https://www.gesetze-im-internet.de/englisch_gg/englisch_gg.html,people+restrictions,germany+people+restrictions,groups,germany,,"This Basic Law thus applies to the entire German people. (2) These rights shall find their limits in the provisions of general laws, in provisions for the protection"
9,"Several young people have to dispose of illegally obtained alcoholic beverages in the sewers, because they have not reached the required age limit. In 2008, the ...",startpage,[10],https://en.wikipedia.org/wiki/Alcohol_laws_in_Germany,,,0.1,Alcohol laws in Germany - Wikipedia,https://en.wikipedia.org/wiki/Alcohol_laws_in_Germany,people+restrictions,germany+people+restrictions,groups,germany,,"Several young people have to dispose of illegally obtained alcoholic beverages in the sewers, because they have not reached the required age limit. In 2008, the"
0,3 days ago ...,startpage,[1],https://www.bbc.com/news/world-europe-51999080,,,1.0,Germany bans groups of more than two to curb virus,https://www.bbc.com/news/world-europe-51999080,groups+restrictions,germany+groups+restrictions,groups,germany,,2020-03-22
1,Coronavirus: Germany bans groups of more than two people. German Chancellor Angela Merkel announced on Sunday a nine-point plan to be ...,startpage,[2],https://www.dw.com/en/what-are-germany[...]rus-social-distancing-rules/a-52881742,2020-03-22 23:41:21,"Mar 22, 2020",0.5,What are Germany's new coronavirus social distancing rules? | DW ...,https://www.dw.com/en/what-are-germanys-new-coronavirus-social-distancing-rules/a-52881742,groups+restrictions,germany+groups+restrictions,groups,germany,2020-03-22 23:41:21,Coronavirus: Germany bans groups of more than two people. German Chancellor Angela Merkel announced on Sunday a nine-point plan to be
